name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
NY city,2015-02-12,3.8,-6.2,-0.3,1.6,-14.3,-4.2,-7.4,59.2,0,0,0,,0,5.2,51.4,27.9,277.3,1009.2,88.5,14.6,108.3,9.3,6,,2015-02-12T06:54:06,2015-02-12T17:26:59,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-13,-6.5,-13.3,-9.4,-11.5,-22.9,-17,-20.9,39.4,0,0,0,,0,5,56.3,32.8,307.1,1019.2,7.5,16,182,15.5,7,,2015-02-13T06:52:51,2015-02-13T17:28:12,0.82,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-14,-0.2,-8.5,-3.9,-3.7,-11.3,-7.1,-12.2,54.4,0.462,100,16.67,"rain,snow",0.9,4.6,37.1,16.3,210.1,1008.7,85.6,13.3,106,9.2,4,,2015-02-14T06:51:34,2015-02-14T17:29:25,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-15,-3.7,-15.4,-9.3,-10,-27.4,-18.6,-17.9,50.8,0.309,100,12.5,snow,0.5,5.7,64.3,36.5,309.4,1008.4,53.4,14.7,173.4,15,7,,2015-02-15T06:50:17,2015-02-15T17:30:37,0.89,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-16,-6.5,-15.8,-11,-9.3,-26.6,-18,-23.1,37.4,0,0,0,snow,1.2,6.2,58.2,28.8,304.3,1020.6,31.7,16,174.2,15,7,,2015-02-16T06:48:58,2015-02-16T17:31:50,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-17,-2.7,-9.6,-6.3,-2.8,-16.7,-9.8,-13.1,59.9,3.482,100,33.33,snow,14.5,15.4,29.5,17,24.8,1013.3,69,10.8,136.5,11.9,6,,2015-02-17T06:47:38,2015-02-17T17:33:02,0.96,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-18,-1,-7.4,-3.9,-1.5,-11.7,-6.6,-11.1,57.8,0,0,0,,0,18.7,17.6,13.2,66.9,1010.3,43.9,15.2,178.9,15.3,7,,2015-02-18T06:46:17,2015-02-18T17:34:14,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-19,-3,-12.1,-7.7,-9.1,-21.7,-15.7,-18.4,42.7,0,0,0,,0,17.6,54.2,35.7,293.4,1009.5,49.5,16,175.1,15.1,6,,2015-02-19T06:44:54,2015-02-19T17:35:25,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-20,-7,-16.6,-11.8,-13,-26.7,-20.2,-23.2,38.6,0,0,0,,0,10.1,51,27.6,285.4,1023.9,3.8,16,198.3,17.2,7,,2015-02-20T06:43:31,2015-02-20T17:36:36,0.06,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-21,-0.2,-10.3,-5.3,-2.9,-16.6,-9.1,-12.6,59.3,13.519,100,41.67,"rain,snow",1.5,6.3,38.9,16.5,215.8,1028.9,61.9,10.2,95,8.1,5,,2015-02-21T06:42:07,2015-02-21T17:37:47,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-22,5.8,0,2.3,5.8,-2.6,1.2,-1.8,75.8,4.513,100,33.33,"rain,snow",1.1,7.9,20.5,15.2,266.9,1021.2,63.8,10.1,149.5,13.1,6,,2015-02-22T06:40:41,2015-02-22T17:38:58,0.13,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-23,3.2,-13.2,-4.7,0.7,-21.8,-11.5,-15.9,42,0,0,0,,0,7.5,46.9,29.9,316.8,1025.4,44.5,16,157.8,13.7,7,,2015-02-23T06:39:15,2015-02-23T17:40:08,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-24,-4.6,-15.3,-9.8,-8,-22.1,-14.8,-19.2,46.4,0,0,0,,0,7.4,35.3,18.4,231.3,1022.6,25.4,16,202.9,17.5,7,,2015-02-24T06:37:48,2015-02-24T17:41:18,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-25,2.7,-7,-1.6,-0.6,-11,-5.4,-11.8,47,0,0,0,snow,8.5,12.3,39.8,22.6,275,1010.8,23.7,16,204.2,17.7,7,,2015-02-25T06:36:20,2015-02-25T17:42:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-26,-0.3,-5.8,-4,-3.1,-12.7,-9,-12.7,51.4,0,0,0,,0,13.2,33.1,21.1,23,1016.4,74.1,15.6,144.1,12.5,7,,2015-02-26T06:34:51,2015-02-26T17:43:38,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-27,-1.2,-7.6,-4.7,-5.3,-13.7,-9.4,-15.3,44.4,0,0,0,,0,11.4,38.9,24.4,328.5,1028.4,32.4,16,206.9,17.8,7,,2015-02-27T06:33:21,2015-02-27T17:44:47,0.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-28,-1.7,-10,-5.5,-2,-14.7,-8.8,-18.3,36.4,0,0,0,snow,0.9,11.8,37.1,21.9,314.4,1040.9,12.3,16,215.6,18.5,8,,2015-02-28T06:31:50,2015-02-28T17:45:56,0.33,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
